111645,,,3007327,[Priest Lorenzo]
112453,,,3007327,[Angelina]
113429,,,3007327,[Lorraine]
113764,,,3007327,[Sophie]
119028,,,3007327,[Viticoltore]
119974,,,3007327,[Young Girl]
127792,,,3007327,[Isabella]
129768,(uncredited),,3007327,[Lorenzo - Grandson]
134245,,,3007327,[Francesca]
134637,(as Lydia Biondi),,3007327,[Donatella]
139775,,,3007327,[Grocer Lorenzo]
823,,,3007728,"[Vasiliy, voditel]"
868,,,3007728,
6467,,,3007728,[Nikolay]
13897,,,3007728,[Posetitel suda]
16804,,,3007728,[Dmitriy]
18588,,,3007728,[Svyashchennik]
18615,,,3007728,
19142,,,3007728,
21735,,,3007728,
22059,,,3007728,
23857,,,3007728,
24009,,,3007728,
27722,,,3007728,
31104,,,3007728,
32047,,,3007728,
32251,,,3007728,[Pasha]
32324,,,3007728,
32989,,,3007728,
33120,,,3007728,[Konvoir]
33153,,,3007728,
40523,,,3007728,[Stepanych]
40821,,,3007728,
41399,,,3007728,[Sudya]
41774,,,3007728,[Sekretar suda]
44008,,,3007728,[Prokuror]
45722,,,3007728,[Zhena mera]
52845,,,3007728,
55147,,,3007728,
57092,,,3007728,[Sledovatel]
62832,,,3007728,
67063,,,3007728,
67568,,,3007728,
69591,,,3007728,
70821,,,3007728,[Rabotnitsa prokuratury]
71692,,,3007728,
73072,,,3007728,[Sudya Gandikap]
73085,,,3007728,
75115,,,3007728,
78728,(as Dmitriy Bykovskiy),,3007728,[Nachalnik politsii]
78841,,,3007728,
78918,,,3007728,[Politseyskiy]
79592,,,3007728,
79771,,,3007728,
81900,,,3007728,[Zhena nachalnika politsii]
85956,,,3007728,[Vitya]
90700,(as Maryana Shults),,3007728,
90974,,,3007728,
92503,(uncredited),,3007728,
92938,,,3007728,
92967,,,3007728,
99657,,,3007728,[Politseyskiy]
100019,,,3007728,
100430,,,3007728,
105749,,,3007728,
106741,,,3007728,[Mer]
