leaf
117494,315
117495,1469
117496,1912
117497,1323
117498,1652
117499,1707
117500,2045
117501,692
117502,603
117503,506
117504,1217
117505,1482
117506,541
117507,352
117508,169
117509,1636
117510,1276
117511,124
117512,528
117513,1354
117514,1269
117515,1498
117516,960
117517,978
117518,228
117519,1393
117520,1747
117521,1793
117522,1958
117523,1730
117524,1450
117525,171
117526,1092
117527,1257
117528,1494
117529,637
117530,859
117531,1433
117532,1324
117533,1457
117534,1932
117535,431
117536,830
117537,367
117538,786
117539,999
117540,1998
117541,2052
117542,1120
117543,421
117544,1302
117545,276
117546,1912
117547,151
117548,1252
117549,36
117550,1543
117551,896
117552,1828
117553,1397
117554,516
117555,1174
117556,1566
117557,1605
117558,319
117559,953
117560,129
117561,1177
117562,271
117563,1454
117564,523
117565,100
117566,1876
117567,1350
117568,469
117569,558
117570,234
117571,360
117572,506
117573,1353
117574,783
117575,1802
117576,1631
117577,591
117578,1951
117579,777
117580,627
117581,1389
117582,1665
117583,346
117584,678
117585,72
117586,1520
117587,134
117588,1675
117589,1835
117590,1084
117591,1801
117592,909
117593,1355
117594,1149
117595,1428
117596,1456
117597,925
117598,670
117599,1917
117600,1479
117601,905
117602,173
117603,1977
117604,147
117605,957
117606,1678
117607,1773
117608,1542
117609,1526
117610,441
117611,57
117612,808
117613,2101
117614,402
117615,1482
117616,69
117617,1916
117618,1614
117619,1742
117620,1651
117621,589
117622,1441
117623,448
117624,1936
117625,481
117626,1869
117627,1286
117628,1401
117629,433
117630,1100
117631,772
117632,1334
117633,1271
117634,644
117635,1480
117636,115
117637,210
117638,1146
117639,1656
117640,1733
117641,1585
117642,1711
117643,433
117644,1582
117645,6
117646,1907
117647,1651
117648,1921
117649,1418
117650,1286
117651,1469
117652,1999
117653,620
117654,1910
117655,1830
117656,1098
117657,1678
117658,1015
117659,387
117660,3
117661,1
117662,1157
117663,1336
117664,1272
117665,1792
117666,708
117667,1386
117668,2002
117669,1846
117670,937
117671,1633
117672,1329
117673,539
117674,2059
117675,805
117676,544
117677,1863
117678,343
117679,358
117680,1177
117681,1630
117682,1822
117683,1072
117684,138
117685,1632
117686,799
117687,1234
117688,1203
117689,1803
117690,1621
117691,1205
117692,1803
117693,671
117694,432
117695,973
117696,355
117697,1136
117698,246
117699,252
117700,881
117701,1182
117702,1880
117703,97
117704,1716
117705,1837
117706,901
117707,152
117708,1599
117709,1242
117710,511
117711,668
117712,765
117713,226
117714,1733
117715,902
117716,1853
117717,422
117718,23
117719,955
117720,120
117721,1644
117722,46
117723,1922
117724,202
117725,477
117726,791
117727,560
117728,1611
117729,1037
117730,813
117731,378
117732,106
117733,589
117734,477
117735,1819
117736,317
117737,1373
117738,1969
117739,1913
117740,507
117741,373
117742,475
117743,1267
117744,603
117745,100
117746,58
117747,349
117748,523
117749,80
117750,1300
117751,645
117752,1722
117753,1345
117754,460
117755,1920
117756,1816
117757,1248
117758,373
117759,1323
117760,173
117761,1185
117762,1701
117763,277
117764,1767
117765,69
117766,2096
117767,2083
117768,1442
117769,1961
117770,1891
117771,1941
117772,230
117773,260
117774,1105
117775,834
117776,360
117777,1161
117778,1181
117779,886
117780,1240
117781,370
117782,1524
117783,856
117784,1714
117785,1979
117786,672
117787,1427
117788,1122
117789,1045
117790,642
117791,1293
117792,116
117793,230
117794,1571
117795,1880
117796,297
117797,1563
117798,1860
117799,1737
117800,1421
117801,1652
117802,1575
117803,1651
117804,1908
117805,573
117806,372
117807,166
117808,1728
117809,1552
117810,1050
117811,864
117812,1919
117813,463
117814,1712
117815,1530
117816,335
117817,272
117818,849
117819,1458
117820,1316
117821,1487
117822,643
117823,1432
117824,1715
117825,102
117826,1209
117827,2010
117828,1664
117829,968
117830,1645
117831,980
117832,508
117833,1113
117834,519
117835,310
117836,1681
117837,894
117838,477
117839,1303
117840,333
117841,1524
117842,55
117843,150
117844,1980
117845,1765
117846,1677
117847,210
117848,2035
117849,416
117850,1666
117851,1246
117852,1895
117853,198
117854,570
117855,1509
117856,298
117857,1773
117858,1414
117859,1959
117860,634
117861,954
117862,834
117863,1138
117864,2056
117865,1349
117866,1449
117867,1634
117868,130
117869,1919
117870,830
117871,465
117872,1338
117873,885
117874,615
117875,1213
117876,540
117877,181
117878,1424
117879,470
117880,599
117881,985
117882,1713
117883,387
117884,1179
117885,173
117886,1890
117887,1479
117888,1943
117889,1201
117890,1333
117891,470
117892,41
117893,55
117894,1606
leaf295.txt
